step,0,1,2,3,4,5,6,7
0,10,6.99987,3.00013,6.99987,3.00013,3.38628e-07,6.99987,3.00013
1,10,6.96488,3.03512,6.96488,3.03512,3.34903e-07,6.96488,3.03512
2,10,6.93097,3.06903,6.93097,3.06903,3.31743e-07,6.93097,3.06903
3,10,6.89811,3.10189,6.89811,3.10189,3.2882e-07,6.89811,3.10189
4,10,6.86625,3.13375,6.86625,3.13375,3.26049e-07,6.86625,3.13375
5,10,6.83537,3.16463,6.83537,3.16463,3.23373e-07,6.83537,3.16463
6,10,6.80541,3.19459,6.80541,3.19459,3.20788e-07,6.80541,3.19459
7,10,6.77635,3.22365,6.77635,3.22365,3.18287e-07,6.77635,3.22365
8,10,6.74815,3.25185,6.74815,3.25185,3.15949e-07,6.74815,3.25185
9,10,6.72078,3.27922,6.72078,3.27922,3.13718e-07,6.72078,3.27922
10,10,6.69422,3.30578,6.69422,3.30578,3.11548e-07,6.69422,3.30578
11,10,6.66842,3.33158,6.66842,3.33158,3.09438e-07,6.66842,3.33158
12,10,6.64337,3.35663,6.64337,3.35663,3.07385e-07,6.64337,3.35663
13,10,6.61904,3.38096,6.61904,3.38096,3.05386e-07,6.61904,3.38096
14,10,6.5954,3.4046,6.5954,3.4046,3.03442e-07,6.5954,3.4046
15,10,6.57243,3.42757,6.57243,3.42757,3.01605e-07,6.57243,3.42757
16,10,6.5501,3.4499,6.5501,3.4499,2.99835e-07,6.5501,3.4499
17,10,6.5284,3.4716,6.5284,3.4716,2.98129e-07,6.5284,3.4716
18,10,6.50731,3.49269,6.50731,3.49269,2.96532e-07,6.50731,3.49269
19,10,6.48679,3.51321,6.48679,3.51321,2.95005e-07,6.48679,3.51321
20,10,6.46684,3.53316,6.46684,3.53316,2.93513e-07,6.46684,3.53316
21,10,6.44744,3.55256,6.44744,3.55256,2.92056e-07,6.44744,3.55256
22,10,6.42856,3.57144,6.42856,3.57144,2.90632e-07,6.42856,3.57144
23,10,6.4102,3.5898,6.41019,3.5898,2.8924e-07,6.41019,3.58981
24,10,6.39232,3.60768,6.39232,3.60768,2.87879e-07,6.39232,3.60768
25,10,6.37493,3.62507,6.37493,3.62507,2.86549e-07,6.37493,3.62507
26,10,6.358,3.642,6.358,3.642,2.85248e-07,6.358,3.642
27,10,6.34151,3.65849,6.34151,3.65849,2.83975e-07,6.34151,3.65849
28,10,6.32546,3.67454,6.32546,3.67454,2.8273e-07,6.32546,3.67454
29,10,6.30984,3.69016,6.30984,3.69016,2.81512e-07,6.30984,3.69016
30,10,6.29462,3.70538,6.29462,3.70538,2.80359e-07,6.29462,3.70538
31,10,6.2798,3.7202,6.2798,3.7202,2.79267e-07,6.2798,3.7202
32,10,6.26536,3.73464,6.26536,3.73464,2.78207e-07,6.26536,3.73464
33,10,6.25129,3.74871,6.25129,3.74871,2.7721e-07,6.25129,3.74871
34,10,6.23759,3.76241,6.23759,3.76241,2.76248e-07,6.23759,3.76241
35,10,6.22423,3.77577,6.22423,3.77577,2.75319e-07,6.22423,3.77577
36,10,6.21122,3.78878,6.21122,3.78878,2.74423e-07,6.21122,3.78878
37,10,6.19853,3.80147,6.19853,3.80147,2.73588e-07,6.19853,3.80147
38,10,6.18617,3.81383,6.18617,3.81383,2.72787e-07,6.18617,3.81383
39,10,6.17412,3.82588,6.17412,3.82588,2.72019e-07,6.17412,3.82588
40,10,6.16237,3.83763,6.16237,3.83763,2.71311e-07,6.16237,3.83763
41,10,6.15092,3.84908,6.15091,3.84908,2.70634e-07,6.15091,3.84909
42,10,6.13975,3.86025,6.13975,3.86025,2.69971e-07,6.13975,3.86025
43,10,6.12885,3.87115,6.12885,3.87115,2.69321e-07,6.12885,3.87115
44,10,6.11823,3.88177,6.11823,3.88177,2.68684e-07,6.11823,3.88177
45,10,6.10787,3.89213,6.10787,3.89213,2.68059e-07,6.10787,3.89213
46,10,6.09776,3.90224,6.09776,3.90224,2.67446e-07,6.09776,3.90224
47,10,6.08791,3.91209,6.08791,3.91209,2.66844e-07,6.08791,3.91209
48,10,6.07829,3.92171,6.07829,3.92171,2.66253e-07,6.07829,3.92171
49,10,6.06891,3.93109,6.06891,3.93109,2.65674e-07,6.06891,3.93109
50,10,6.05975,3.94025,6.05975,3.94025,2.65105e-07,6.05975,3.94025
51,10,6.05082,3.94918,6.05082,3.94918,2.64546e-07,6.05082,3.94918
52,10,6.0421,3.9579,6.0421,3.9579,2.63997e-07,6.0421,3.9579
53,10,6.0336,3.9664,6.0336,3.9664,2.63458e-07,6.0336,3.9664
54,10,6.0253,3.9747,6.0253,3.9747,2.62929e-07,6.0253,3.9747
