step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0.937517,9.06248,1.87543e-05,4.99998,0,0,0,0,0,0.937517,8.12497,0,1.87543e-05,4.99996,0,0,0,0,0.937517,1.28044e-33,1.87543e-05,0,0,0,0,0,0,1.87503,0,8.85013e-24,8.125,0,4.99996,2.06e-12,0,0,0,1.28044e-33,0,0,0,0,0,0,0,0,0,1.87503,0,2.66839e-49,13.125,0,0,0,0,0,0,0,0,2.06e-12,0,0,0,0,0,0,0,1.87503,0,0,0,0,0,0,0,0,13.125
1,0,0,0,0,0,0,0,0,1.26251,8.73749,1.83909e-05,4.99998,0,0,0,0,0,1.26251,7.47497,0,1.80158e-05,4.99996,0,0,0,0,1.26251,3.75084e-07,1.80158e-05,0,0,0,0,0,0,2.52503,0,0.0731252,7.40189,0,4.99996,3.63374e-07,0,0,0,3.75084e-07,0,0,0,0,0,0,0,0,0,2.59815,0,2.48379e-49,12.4018,0,0,0,0,0,0,0,0,3.63374e-07,0,0,0,0,0,0,0,2.59815,0,0,0,0,0,0,0,0,12.4018
2,0,0,0,0,0,0,0,0,1.44686,8.55314,1.6796e-05,4.99998,0,0,0,0,0,1.56638,6.98676,0,0.00357798,4.99641,0,0,0,0,1.44686,3.97082e-07,1.63989e-05,0,0,0,0,0,0,3.01324,0,0.177641,6.81271,0,4.9964,4.11727e-07,0,0,0,3.97082e-07,0,0,0,0,0,0,0,0,0,3.19088,0,5.12507e-07,11.8091,0,0,0,0,0,0,0,0,4.11727e-07,0,0,0,0,0,0,0,3.19089,0,0,0,0,0,0,0,0,11.8091
3,0,0,0,0,0,0,0,0,1.53648,8.46352,1.50477e-05,4.99998,0,0,0,0,0,1.81471,6.64881,0,0.0193586,4.98063,0,0,0,0,1.53648,3.41052e-07,1.47066e-05,0,0,0,0,0,0,3.35119,0,0.274073,6.39411,0,4.98063,3.6887e-07,0,0,0,3.41052e-07,0,0,0,0,0,0,0,0,0,3.62527,0,1.19286e-06,11.3747,0,0,0,0,0,0,0,0,3.6887e-07,0,0,0,0,0,0,0,3.62527,0,0,0,0,0,0,0,0,11.3747
4,0,0,0,0,0,0,0,0,1.56465,8.43535,1.33625e-05,4.99999,0,0,0,0,0,2.02241,6.41294,0,0.0386571,4.96133,0,0,0,0,1.56465,2.78743e-07,1.30838e-05,0,0,0,0,0,0,3.58706,0,0.359034,6.09258,0,4.96133,3.17591e-07,0,0,0,2.78743e-07,0,0,0,0,0,0,0,0,0,3.94609,0,1.89787e-06,11.0539,0,0,0,0,0,0,0,0,3.17591e-07,0,0,0,0,0,0,0,3.94609,0,0,0,0,0,0,0,0,11.0539
5,0,0,0,0,0,0,0,0,1.55148,8.44852,1.18633e-05,4.99999,0,0,0,0,0,2.1971,6.25141,0,0.0557101,4.94428,0,0,0,0,1.55148,2.21163e-07,1.16422e-05,0,0,0,0,0,0,3.74859,0,0.429929,5.87721,0,4.94428,2.6974e-07,0,0,0,2.21163e-07,0,0,0,0,0,0,0,0,0,4.17852,0,2.53885e-06,10.8215,0,0,0,0,0,0,0,0,2.6974e-07,0,0,0,0,0,0,0,4.17852,0,0,0,0,0,0,0,0,10.8215
6,0,0,0,0,0,0,0,0,1.51123,8.48877,1.05106e-05,4.99999,0,0,0,0,0,2.35093,6.13784,0,0.0717117,4.92828,0,0,0,0,1.51123,1.71186e-07,1.03394e-05,0,0,0,0,0,0,3.86216,0,0.493341,5.71622,0,4.92828,2.26392e-07,0,0,0,1.71186e-07,0,0,0,0,0,0,0,0,0,4.3555,0,3.13429e-06,10.6445,0,0,0,0,0,0,0,0,2.26392e-07,0,0,0,0,0,0,0,4.3555,0,0,0,0,0,0,0,0,10.6445
7,0,0,0,0,0,0,0,0,1.45835,8.54165,9.28392e-06,4.99999,0,0,0,0,0,2.49085,6.05081,0,0.0874443,4.91255,0,0,0,0,1.45835,1.29686e-07,9.15423e-06,0,0,0,0,0,0,3.94919,0,0.552763,5.5855,0,4.91255,1.87958e-07,0,0,0,1.29686e-07,0,0,0,0,0,0,0,0,0,4.50196,0,0.0115562,10.4865,0,0,0,0,0,0,0,0,1.87958e-07,0,0,0,0,0,0,0,4.51351,0,0,0,0,0,0,0,0,10.4865
8,0,0,0,0,0,0,0,0,1.38744,8.61256,8.0288e-06,4.99999,0,0,0,0,0,2.63515,5.97741,0,0.113864,4.88613,0,0,0,0,1.38744,9.36297e-08,7.93517e-06,0,0,0,0,0,0,4.02259,0,0.634738,5.45654,0,4.88613,1.50534e-07,0,0,0,9.36297e-08,0,0,0,0,0,0,0,0,0,4.65733,0,0.059823,10.2828,0,0,0,0,0,0,0,0,1.50534e-07,0,0,0,0,0,0,0,4.71716,0,0,0,0,0,0,0,0,10.2828
9,0,0,0,0,0,0,0,0,1.30706,8.69294,6.8751e-06,4.99999,0,0,0,0,0,2.77435,5.91859,0,0.153376,4.84662,0,0,0,0,1.30706,6.54627e-08,6.80963e-06,0,0,0,0,0,0,4.08141,0,0.72127,5.3507,0,4.84662,1.18215e-07,0,0,0,6.54627e-08,0,0,0,0,0,0,0,0,0,4.80268,0,0.136583,10.0607,0,0,0,0,0,0,0,0,1.18215e-07,0,0,0,0,0,0,0,4.93926,0,0,0,0,0,0,0,0,10.0607
10,0,0,0,0,0,0,0,0,1.22455,8.77545,5.88292e-06,4.99999,0,0,0,0,0,2.90237,5.87308,0,0.193464,4.80653,0,0,0,0,1.22455,4.50528e-08,5.83786e-06,0,0,0,0,0,0,4.12692,0,0.799167,5.26738,0,4.80653,9.2422e-08,0,0,0,4.50528e-08,0,0,0,0,0,0,0,0,0,4.92609,0,0.220566,9.85334,0,0,0,0,0,0,0,0,9.2422e-08,0,0,0,0,0,0,0,5.14666,0,0,0,0,0,0,0,0,9.85334
11,0,0,0,0,0,0,0,0,1.1419,8.8581,5.02796e-06,4.99999,0,0,0,0,0,3.02137,5.83674,0,0.233735,4.76626,0,0,0,0,1.1419,3.0564e-08,4.9974e-06,0,0,0,0,0,0,4.16326,0,0.869774,5.2007,0,4.76626,7.19577e-08,0,0,0,3.0564e-08,0,0,0,0,0,0,0,0,0,5.03304,0,0.310402,9.65656,0,0,0,0,0,0,0,0,7.19577e-08,0,0,0,0,0,0,0,5.34344,0,0,0,0,0,0,0,0,9.65656
12,0,0,0,0,0,0,0,0,1.0605,8.9395,4.29084e-06,5,0,0,0,0,0,3.13284,5.80666,0,0.273953,4.72604,0,0,0,0,1.0605,2.04611e-08,4.27038e-06,0,0,0,0,0,0,4.19334,0,0.933997,5.14662,0,4.72604,5.5805e-08,0,0,0,2.04611e-08,0,0,0,0,0,0,0,0,0,5.12734,0,0.405146,9.46752,0,0,0,0,0,0,0,0,5.5805e-08,0,0,0,0,0,0,0,5.53248,0,0,0,0,0,0,0,0,9.46752
13,0,0,0,0,0,0,0,0,0.981356,9.01864,3.65556e-06,5,0,0,0,0,0,3.23786,5.78078,0,0.31397,4.68603,0,0,0,0,0.981356,1.35283e-08,3.64203e-06,0,0,0,0,0,0,4.21922,0,0.992326,5.10243,0,4.68603,4.31159e-08,0,0,0,1.35283e-08,0,0,0,0,0,0,0,0,0,5.21154,0,0.504278,9.28418,0,0,0,0,0,0,0,0,4.31159e-08,0,0,0,0,0,0,0,5.71582,0,0,0,0,0,0,0,0,9.28418
14,0,0,0,0,0,0,0,0,0.90514,9.09486,3.10863e-06,5,0,0,0,0,0,3.33722,5.75764,0,0.353679,4.64632,0,0,0,0,0.90514,8.84006e-09,3.09979e-06,0,0,0,0,0,0,4.24236,0,1.04535,5.06597,0,4.64632,3.31923e-08,0,0,0,8.84006e-09,0,0,0,0,0,0,0,0,0,5.28771,0,0.607203,9.10508,0,0,0,0,0,0,0,0,3.31923e-08,0,0,0,0,0,0,0,5.89492,0,0,0,0,0,0,0,0,9.10508
