step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,50.0831,30.083,30.083,61.0808,60.0831,3,3,17.0841,7.08414,3,17.0841,7.08414,47.0819,37.0819,27.0819
1,42.0385,33.6114,21.6591,43.0041,40.0862,3.05426,-8.89803,7.68102,9.63331,-20.8503,-4.27126,-2.31898,16.0737,18.026,19.9783
2,35.2997,36.5733,20.5105,33.4823,29.237,3.23964,-12.8231,5.83301,11.8958,-28.8859,-10.2297,-4.16699,1.742,7.80475,13.8675
3,31.5018,37.8764,19.6006,27.9981,23.226,3.49461,-14.7812,4.64046,12.9163,-33.057,-13.6353,-5.35954,-6.23785,2.03794,10.3137
4,29.2351,38.2678,19.1715,25.073,20.1388,3.78054,-15.3158,4.12374,13.2201,-34.4121,-14.9726,-5.87626,-10.071,-0.974707,8.12162
5,27.8266,38.1929,18.3099,22.8564,17.9436,4.0693,-15.8137,3.27378,13.1568,-35.6968,-16.6092,-6.72622,-13.0628,-3.17976,6.70327
6,26.8514,37.9358,17.2961,21.0506,16.2117,4.35277,-16.287,2.29984,12.9396,-36.9268,-18.3399,-7.70016,-15.5854,-4.94563,5.69414
7,26.1259,37.615,14.1571,17.4324,12.668,4.62577,-18.8321,-0.798912,12.659,-42.29,-24.2568,-10.7989,-21.9815,-8.52362,4.93428
8,25.3614,37.4434,12.4937,15.2652,10.4117,4.89826,-20.0514,-2.51036,12.4393,-45.0011,-27.4601,-12.5104,-25.6886,-10.7389,4.21083
9,24.7179,37.2813,11.9739,14.4043,9.41057,5.15547,-20.1519,-3.106,12.2014,-45.4593,-28.4134,-13.106,-26.983,-11.6756,3.63174
10,24.2392,37.0776,11.4176,13.7035,8.57918,5.38992,-20.2701,-3.73314,11.9269,-45.9302,-29.3932,-13.7331,-28.1073,-12.4473,3.21277
11,23.861,36.8732,10.8653,13.1184,7.85311,5.60307,-20.4049,-4.36214,11.6458,-46.4128,-30.3701,-14.3621,-29.1169,-13.109,2.89894
12,23.5485,36.6855,10.3342,12.6206,7.19725,5.79659,-20.5546,-4.97938,11.3719,-46.9059,-31.3306,-14.9794,-30.0442,-13.693,2.65828
13,23.2814,36.5209,9.83076,12.1901,6.59125,5.97222,-20.7179,-5.57881,11.1113,-47.408,-32.2689,-15.5788,-30.9096,-14.2195,2.47064
14,23.0473,36.3808,7.79522,10.2509,4.46174,6.13172,-22.4539,-7.71885,10.8667,-51.0394,-36.3044,-17.7188,-34.8487,-16.2631,2.32246
15,22.7712,36.3352,6.93679,9.44754,3.37279,6.27832,-23.1201,-8.73472,10.6637,-52.5186,-38.1332,-18.7347,-36.6224,-17.224,2.17448
16,22.5222,36.308,6.11857,8.70587,2.33281,6.41091,-23.7785,-9.71833,10.4711,-53.968,-39.9078,-19.7183,-38.3205,-18.131,2.05841
17,22.2964,36.2967,4.01146,6.68996,0.0112034,6.53084,-25.7544,-11.9959,10.2893,-58.0396,-44.2811,-21.9959,-42.6026,-20.3174,1.96783
18,22.0462,36.3507,2.99049,5.73666,-1.3141,6.63928,-26.721,-13.2256,10.1347,-60.0812,-46.5858,-23.2256,-44.8397,-21.4794,1.88085
19,21.8198,36.4116,2.916,5.74438,-1.6758,6.73705,-26.7585,-13.5088,9.98683,-60.2542,-47.0044,-23.5088,-45.176,-21.6804,1.81521
20,21.6402,36.4448,2.81434,5.75157,-1.9902,6.82616,-26.8043,-13.7933,9.83714,-60.4347,-47.4237,-23.7933,-45.4864,-21.856,1.77437
21,21.4932,36.4597,2.695,5.75185,-2.2715,6.90831,-26.8564,-14.0736,9.69109,-60.621,-47.8383,-24.0736,-45.7814,-22.0167,1.74793
22,21.3695,36.4618,2.56343,5.74126,-2.5289,6.98489,-26.9135,-14.3469,9.55147,-60.8119,-48.2453,-24.3469,-46.0675,-22.1691,1.7293
23,21.2632,36.4543,2.42271,5.71746,-2.76841,7.05702,-26.9746,-14.6121,9.41953,-61.0062,-48.6437,-24.6121,-46.349,-22.3173,1.71427
24,21.1703,36.4388,2.2745,5.67922,-2.994,7.12558,-27.0387,-14.8688,9.29554,-61.203,-49.0331,-24.8688,-46.6284,-22.464,1.70026
25,21.0882,36.4162,2.11967,5.6261,-3.20832,7.19129,-27.1052,-15.1172,9.17926,-61.4017,-49.4137,-25.1172,-46.9073,-22.6108,1.68569
