step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0.208529,4.79147,0,0,0,0,0,0,0,0.208529,4.58294,0,0,0,0,0,0,2.38723e-61,0.208529,0,0,0,0,0,0,0,4.77447e-61,0.417058,0,5.52498e-167,0,4.58294,0,0,0,2.38723e-61,0,0,0,0,0,0,0,0,7.1617e-61,0,2.19915e-173,0,0.417058,0,0,0,0,0,0,0,0,0,4.58294,0,0,0,0,0,0,7.1617e-61,0,0,0,0,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,0,0.567581,4.43242,0,0,0,0,0,0,0,0.455511,3.97691,0,0,0,0,0,0,0.112069,0.455511,0,0,0,0,0,0,0,0.224139,0.686884,0,4.35238e-167,0,3.97691,0,0,0,0.112069,0,0,0,0,0,0,0,0,0.336208,0,0.0916385,0,0.595245,0,0,0,0,0,0,0,0,0,3.97691,0,0,0,0,0,0,0.427847,0,0,0,0,0,0,0,0,0,4.57215,0
2,0,0,0,0,0,0,0,0,0.817418,4.18258,0,0,0,0,0,0,0,0.825348,3.35723,0,0,0,0,0,0,0.176103,0.641315,0,0,0,0,0,0,0,0.530467,0.936196,0,0.0232922,0,3.33394,0,0,0,0.176103,0,0,0,0,0,0,0,0,0.70657,0,0.254923,0,0.704565,0,0,0,0,0,0,0,0,0,3.33394,0,0,0,0,0,0,0.961493,0,0,0,0,0,0,0,0,0,4.03851,0
3,0,0,0,0,0,0,0,0,0.930717,4.06928,0,0,0,0,0,0,0,1.14942,2.91986,0,0,0,0,0,0,0.202101,0.728616,0,0,0,0,0,0,0,0.813007,1.06503,0,0.0873348,0,2.83252,0,0,0,0.202101,0,0,0,0,0,0,0,0,1.01511,0,0.409674,0,0.742694,0,0,0,0,0,0,0,0,0,2.83252,0,0,0,0,0,0,1.42478,0,0,0,0,0,0,0,0,0,3.57522,0
4,0,0,0,0,0,0,0,0,0.978098,4.0219,0,0,0,0,0,0,0,1.43498,2.58692,0,0,0,0,0,0,0.20558,0.772518,0,0,0,0,0,0,0,1.06962,1.13788,0,0.165546,0,2.42138,0,0,0,0.20558,0,0,0,0,0,0,0,0,1.2752,0,0.550643,0,0.752779,0,0,0,0,0,0,0,0,0,2.42138,0,0,0,0,0,0,1.82584,0,0,0,0,0,0,0,0,0,3.17416,0
5,0,0,0,0,0,0,0,0,0.99307,4.00693,0,0,0,0,0,0,0,1.6792,2.32773,0,0,0,0,0,0,0.196877,0.796193,0,0,0,0,0,0,0,1.29567,1.17972,0,0.240991,0,2.08674,0,0,0,0.196877,0,0,0,0,0,0,0,0,1.49255,0,0.670059,0,0.750653,0,0,0,0,0,0,0,0,0,2.08674,0,0,0,0,0,0,2.16261,0,0,0,0,0,0,0,0,0,2.83739,0
6,0,0,0,0,0,0,0,0,0.990838,4.00916,0,0,0,0,0,0,0,1.89587,2.11329,0,0,0,0,0,0,0.181194,0.809644,0,0,0,0,0,0,0,1.49758,1.20793,0,0.311995,0,1.8013,0,0,0,0.181194,0,0,0,0,0,0,0,0,1.67877,0,0.776779,0,0.743149,0,0,0,0,0,0,0,0,0,1.8013,0,0,0,0,0,0,2.45555,0,0,0,0,0,0,0,0,0,2.54445,0
7,0,0,0,0,0,0,0,0,0.978515,4.02148,0,0,0,0,0,0,0,2.09135,1.93014,0,0,0,0,0,0,0.161732,0.816783,0,0,0,0,0,0,0,1.67865,1.22948,0,0.377551,0,1.55259,0,0,0,0.161732,0,0,0,0,0,0,0,0,1.84038,0,0.874249,0,0.732782,0,0,0,0,0,0,0,0,0,1.55259,0,0,0,0,0,0,2.71463,0,0,0,0,0,0,0,0,0,2.28537,0
8,0,0,0,0,0,0,0,0,0.956948,4.04305,0,0,0,0,0,0,0,2.29059,1.75247,0,0,0,0,0,0,0.137328,0.81962,0,0,0,0,0,0,0,1.85132,1.25889,0,0.450976,0,1.30149,0,0,0,0.137328,0,0,0,0,0,0,0,0,1.98865,0,0.988143,0,0.72172,0,0,0,0,0,0,0,0,0,1.30149,0,0,0,0,0,0,2.97679,0,0,0,0,0,0,0,0,0,2.02321,0
9,0,0,0,0,0,0,0,0,0.929022,4.07098,0,0,0,0,0,0,0,2.47445,1.59653,0,0,0,0,0,0,0.113457,0.815566,0,0,0,0,0,0,0,2.00564,1.28438,0,0.519906,0,1.07662,0,0,0,0.113457,0,0,0,0,0,0,0,0,2.11909,0,1.0971,0,0.707182,0,0,0,0,0,0,0,0,0,1.07662,0,0,0,0,0,0,3.2162,0,0,0,0,0,0,0,0,0,1.7838,0
10,0,0,0,0,0,0,0,0,0.898085,4.10192,0,0,0,0,0,0,0,2.63455,1.46736,0,0,0,0,0,0,0.0927896,0.805295,0,0,0,0,0,0,0,2.13858,1.30127,0,0.577641,0,0.889722,0,0,0,0.0927896,0,0,0,0,0,0,0,0,2.23137,0,1.18988,0,0.689027,0,0,0,0,0,0,0,0,0,0.889722,0,0,0,0,0,0,3.42125,0,0,0,0,0,0,0,0,0,1.57875,0
11,0,0,0,0,0,0,0,0,0.865385,4.13462,0,0,0,0,0,0,0,2.77533,1.35929,0,0,0,0,0,0,0.0751763,0.790208,0,0,0,0,0,0,0,2.25357,1.31196,0,0.625591,0,0.733698,0,0,0,0.0751763,0,0,0,0,0,0,0,0,2.32875,0,1.26939,0,0.66816,0,0,0,0,0,0,0,0,0,0.733698,0,0,0,0,0,0,3.59814,0,0,0,0,0,0,0,0,0,1.40186,0
12,0,0,0,0,0,0,0,0,0.831616,4.16838,0,0,0,0,0,0,0,2.90001,1.26837,0,0,0,0,0,0,0.0603736,0.771242,0,0,0,0,0,0,0,2.35338,1.31787,0,0.665041,0,0.603331,0,0,0,0.0603736,0,0,0,0,0,0,0,0,2.41376,0,1.33775,0,0.645165,0,0,0,0,0,0,0,0,0,0.603331,0,0,0,0,0,0,3.7515,0,0,0,0,0,0,0,0,0,1.2485,0
13,0,0,0,0,0,0,0,0,0.797215,4.20279,0,0,0,0,0,0,0,3.01112,1.19166,0,0,0,0,0,0,0.0480878,0.749127,0,0,0,0,0,0,0,2.44031,1.31994,0,0.697146,0,0.494515,0,0,0,0.0480878,0,0,0,0,0,0,0,0,2.4884,0,1.39658,0,0.620503,0,0,0,0,0,0,0,0,0,0.494515,0,0,0,0,0,0,3.88498,0,0,0,0,0,0,0,0,0,1.11502,0
14,0,0,0,0,0,0,0,0,0.762491,4.23751,0,0,0,0,0,0,0,3.11068,1.12683,0,0,0,0,0,0,0.0380056,0.724486,0,0,0,0,0,0,0,2.51629,1.31888,0,0.722933,0,0.403893,0,0,0,0.0380056,0,0,0,0,0,0,0,0,2.55429,0,1.44724,0,0.594577,0,0,0,0,0,0,0,0,0,0.403893,0,0,0,0,0,0,4.00153,0,0,0,0,0,0,0,0,0,0.99847,0
15,0,0,0,0,0,0,0,0,0.724956,4.27504,0,0,0,0,0,0,0,3.206,1.06904,0,0,0,0,0,0,0.0292238,0.695732,0,0,0,0,0,0,0,2.58417,1.31756,0,0.746697,0,0.322345,0,0,0,0.0292238,0,0,0,0,0,0,0,0,2.6134,0,1.49803,0,0.566224,0,0,0,0,0,0,0,0,0,0.322345,0,0,0,0,0,0,4.11143,0,0,0,0,0,0,0,0,0,0.88857,0
16,0,0,0,0,0,0,0,0,0.686721,4.31328,0,0,0,0,0,0,0,3.29261,1.02067,0,0,0,0,0,0,0.0221696,0.664552,0,0,0,0,0,0,0,2.64355,1.31361,0,0.765893,0,0.254772,0,0,0,0.0221696,0,0,0,0,0,0,0,0,2.66572,0,1.54296,0,0.53655,0,0,0,0,0,0,0,0,0,0.254772,0,0,0,0,0,0,4.20868,0,0,0,0,0,0,0,0,0,0.791322,0
17,0,0,0,0,0,0,0,0,0.648142,4.35186,0,0,0,0,0,0,0,3.37145,0.980407,0,0,0,0,0,0,0.0165999,0.631542,0,0,0,0,0,0,0,2.69558,1.30741,0,0.780995,0,0.199412,0,0,0,0.0165999,0,0,0,0,0,0,0,0,2.71218,0,1.58243,0,0.505977,0,0,0,0,0,0,0,0,0,0.199412,0,0,0,0,0,0,4.29461,0,0,0,0,0,0,0,0,0,0.705389,0
18,0,0,0,0,0,0,0,0,0.607357,4.39264,0,0,0,0,0,0,0,3.44645,0.946196,0,0,0,0,0,0,0.0120529,0.595304,0,0,0,0,0,0,0,2.74146,1.30029,0,0.794271,0,0.151925,0,0,0,0.0120529,0,0,0,0,0,0,0,0,2.75351,0,1.62111,0,0.473449,0,0,0,0,0,0,0,0,0,0.151925,0,0,0,0,0,0,4.37463,0,0,0,0,0,0,0,0,0,0.625374,0
19,0,0,0,0,0,0,0,0,0.566509,4.43349,0,0,0,0,0,0,0,3.51504,0.918447,0,0,0,0,0,0,0.00860341,0.557906,0,0,0,0,0,0,0,2.78165,1.2913,0,0.804309,0,0.114138,0,0,0,0.00860341,0,0,0,0,0,0,0,0,2.79026,0,1.65513,0,0.440476,0,0,0,0,0,0,0,0,0,0.114138,0,0,0,0,0,0,4.44539,0,0,0,0,0,0,0,0,0,0.554614,0
20,0,0,0,0,0,0,0,0,0.527419,4.47258,0,0,0,0,0,0,0,3.57639,0.896194,0,0,0,0,0,0,0.00611778,0.521301,0,0,0,0,0,0,0,2.81721,1.28048,0,0.810593,0,0.0856005,0,0,0,0.00611778,0,0,0,0,0,0,0,0,2.82332,0,1.68254,0,0.408539,0,0,0,0,0,0,0,0,0,0.0856005,0,0,0,0,0,0,4.50586,0,0,0,0,0,0,0,0,0,0.494139,0
21,0,0,0,0,0,0,0,0,0.490221,4.50978,0,0,0,0,0,0,0,3.63184,0.877941,0,0,0,0,0,0,0.00433454,0.485887,0,0,0,0,0,0,0,2.84914,1.26859,0,0.813867,0,0.0640744,0,0,0,0.00433454,0,0,0,0,0,0,0,0,2.85347,0,1.7045,0,0.377953,0,0,0,0,0,0,0,0,0,0.0640744,0,0,0,0,0,0,4.55797,0,0,0,0,0,0,0,0,0,0.442028,0
22,0,0,0,0,0,0,0,0,0.454984,4.54502,0,0,0,0,0,0,0,3.68242,0.862592,0,0,0,0,0,0,0.00306042,0.451924,0,0,0,0,0,0,0,2.87823,1.25611,0,0.814727,0,0.0478645,0,0,0,0.00306042,0,0,0,0,0,0,0,0,2.88129,0,1.72192,0,0.348918,0,0,0,0,0,0,0,0,0,0.0478645,0,0,0,0,0,0,4.60322,0,0,0,0,0,0,0,0,0,0.396782,0
23,0,0,0,0,0,0,0,0,0.421728,4.57827,0,0,0,0,0,0,0,3.72894,0.849335,0,0,0,0,0,0,0.00215359,0.419574,0,0,0,0,0,0,0,2.9051,1.24341,0,0.813654,0,0.0356817,0,0,0,0.00215359,0,0,0,0,0,0,0,0,2.90725,0,1.73553,0,0.321541,0,0,0,0,0,0,0,0,0,0.0356817,0,0,0,0,0,0,4.64278,0,0,0,0,0,0,0,0,0,0.357223,0
24,0,0,0,0,0,0,0,0,0.390439,4.60956,0,0,0,0,0,0,0,3.77199,0.837574,0,0,0,0,0,0,0.00151053,0.388929,0,0,0,0,0,0,0,2.93021,1.23071,0,0.811029,0,0.026545,0,0,0,0.00151053,0,0,0,0,0,0,0,0,2.93172,0,1.74587,0,0.29587,0,0,0,0,0,0,0,0,0,0.026545,0,0,0,0,0,0,4.67759,0,0,0,0,0,0,0,0,0,0.322415,0
25,0,0,0,0,0,0,0,0,0.361081,4.63892,0,0,0,0,0,0,0,3.81205,0.826866,0,0,0,0,0,0,0.00105613,0.360025,0,0,0,0,0,0,0,2.95392,1.21816,0,0.807158,0,0.0197075,0,0,0,0.00105613,0,0,0,0,0,0,0,0,2.95497,0,1.75342,0,0.271904,0,0,0,0,0,0,0,0,0,0.0197075,0,0,0,0,0,0,4.70839,0,0,0,0,0,0,0,0,0,0.291612,0
26,0,0,0,0,0,0,0,0,0.333597,4.6664,0,0,0,0,0,0,0,3.84952,0.816886,0,0,0,0,0,0,0.000736129,0.332861,0,0,0,0,0,0,0,2.97651,1.20587,0,0.802284,0,0.0146018,0,0,0,0.000736129,0,0,0,0,0,0,0,0,2.97725,0,1.75854,0,0.249613,0,0,0,0,0,0,0,0,0,0.0146018,0,0,0,0,0,0,4.73579,0,0,0,0,0,0,0,0,0,0.264215,0
27,0,0,0,0,0,0,0,0,0.307919,4.69208,0,0,0,0,0,0,0,3.88468,0.807398,0,0,0,0,0,0,0.000511517,0.307408,0,0,0,0,0,0,0,2.99821,1.19388,0,0.796601,0,0.0107976,0,0,0,0.000511517,0,0,0,0,0,0,0,0,2.99872,0,1.76154,0,0.22894,0,0,0,0,0,0,0,0,0,0.0107976,0,0,0,0,0,0,4.76026,0,0,0,0,0,0,0,0,0,0.239738,0
28,0,0,0,0,0,0,0,0,0.283971,4.71603,0,0,0,0,0,0,0,3.9178,0.798231,0,0,0,0,0,0,0.000354369,0.283617,0,0,0,0,0,0,0,3.01918,1.18223,0,0.790262,0,0.00796902,0,0,0,0.000354369,0,0,0,0,0,0,0,0,3.01954,0,1.76268,0,0.209816,0,0,0,0,0,0,0,0,0,0.00796902,0,0,0,0,0,0,4.78221,0,0,0,0,0,0,0,0,0,0.217785,0
29,0,0,0,0,0,0,0,0,0.26167,4.73833,0,0,0,0,0,0,0,3.94907,0.789261,0,0,0,0,0,0,0.000244768,0.261425,0,0,0,0,0,0,0,3.03956,1.17094,0,0.783391,0,0.00587029,0,0,0,0.000244768,0,0,0,0,0,0,0,0,3.0398,0,1.76217,0,0.192161,0,0,0,0,0,0,0,0,0,0.00587029,0,0,0,0,0,0,4.80197,0,0,0,0,0,0,0,0,0,0.198032,0
30,0,0,0,0,0,0,0,0,0.240053,4.75995,0,0,0,0,0,0,0,3.97926,0.780686,0,0,0,0,0,0,0.000165793,0.239888,0,0,0,0,0,0,0,3.05913,1.16002,0,0.776436,0,0.00424975,0,0,0,0.000165793,0,0,0,0,0,0,0,0,3.05929,0,1.76121,0,0.175251,0,0,0,0,0,0,0,0,0,0.00424975,0,0,0,0,0,0,4.8205,0,0,0,0,0,0,0,0,0,0.1795,0
31,0,0,0,0,0,0,0,0,0.220073,4.77993,0,0,0,0,0,0,0,4.00778,0.77215,0,0,0,0,0,0,0.000112012,0.219961,0,0,0,0,0,0,0,3.07833,1.14941,0,0.769078,0,0.00307223,0,0,0,0.000112012,0,0,0,0,0,0,0,0,3.07844,0,1.75874,0,0.159754,0,0,0,0,0,0,0,0,0,0.00307223,0,0,0,0,0,0,4.83717,0,0,0,0,0,0,0,0,0,0.162826,0
32,0,0,0,0,0,0,0,0,0.201691,4.79831,0,0,0,0,0,0,0,4.03473,0.763581,0,0,0,0,0,0,7.55988e-05,0.201615,0,0,0,0,0,0,0,3.09723,1.13911,0,0.76136,0,0.00222098,0,0,0,7.55988e-05,0,0,0,0,0,0,0,0,3.09731,0,1.75485,0,0.145619,0,0,0,0,0,0,0,0,0,0.00222098,0,0,0,0,0,0,4.85216,0,0,0,0,0,0,0,0,0,0.14784,0
33,0,0,0,0,0,0,0,0,0.18479,4.81521,0,0,0,0,0,0,0,4.06026,0.754951,0,0,0,0,0,0,5.0971e-05,0.184739,0,0,0,0,0,0,0,3.11588,1.12912,0,0.753345,0,0.0016056,0,0,0,5.0971e-05,0,0,0,0,0,0,0,0,3.11593,0,1.74972,0,0.132737,0,0,0,0,0,0,0,0,0,0.0016056,0,0,0,0,0,0,4.86566,0,0,0,0,0,0,0,0,0,0.134343,0
34,0,0,0,0,0,0,0,0,0.169258,4.83074,0,0,0,0,0,0,0,4.08449,0.746247,0,0,0,0,0,0,3.43317e-05,0.169224,0,0,0,0,0,0,0,3.1343,1.11942,0,0.745086,0,0.00116074,0,0,0,3.43317e-05,0,0,0,0,0,0,0,0,3.13434,0,1.7435,0,0.121003,0,0,0,0,0,0,0,0,0,0.00116074,0,0,0,0,0,0,4.87784,0,0,0,0,0,0,0,0,0,0.122163,0
