step,sumCost
0,-13.7506
1,-111.595
2,-154.642
3,-179.525
4,-191.578
5,-201.694
6,-210.901
7,-236.473
8,-252.552
9,-259.594
10,-266.443
11,-273.177
12,-279.838
13,-286.449
14,-308.612
15,-320.963
16,-333.471
17,-360.544
18,-377.81
19,-384.83
20,-391.511
21,-397.895
22,-404.019
23,-409.912
24,-415.603
25,-421.115
26,-426.468
27,-431.68
28,-436.765
29,-457.693
30,-478.618
31,-487.362
32,-511.049
33,-522.333
34,-533.609
35,-544.876
36,-570.557
37,-583.621
38,-596.671
39,-623.478
40,-637.503
41,-651.484
42,-678.584
43,-692.855
44,-719.754
45,-733.66
46,-747.436
47,-773.273
48,-785.942
49,-810.383
50,-821.667
51,-832.743
52,-855.116
53,-864.11
54,-872.875
55,-881.421
56,-889.755
57,-909.016
58,-915.022
59,-920.818
60,-926.417
61,-931.832
62,-937.074
63,-942.153
64,-958.192
65,-974.004
66,-976.43
67,-978.711
68,-980.858
69,-982.882
70,-984.795
71,-986.604
72,-998.989
73,-1011.22
74,-1033.55
75,-1042.83
76,-1062.22
77,-1068.53
78,-1074.74
79,-1080.88
80,-1096.61
81,-1099.27
82,-1101.88
83,-1104.44
84,-1106.95
85,-1109.43
86,-1111.86
87,-1114.27
88,-1126.54
89,-1138.68
90,-1160.15
91,-1178.12
92,-1183.49
93,-1188.83
94,-1194.13
95,-1208.73
96,-1211.53
97,-1214.31
98,-1217.08
99,-1219.83
100,-1222.56
101,-1234.02
102,-1245.38
103,-1265.01
104,-1281.59
105,-1286.99
106,-1292.35
107,-1297.7
108,-1311.32
109,-1313.57
110,-1315.82
111,-1318.05
112,-1320.28
113,-1322.5
114,-1332.49
115,-1342.42
116,-1360.91
117,-1368.86
118,-1384.75
119,-1389.82
120,-1402.32
121,-1405.06
122,-1407.79
123,-1410.52
124,-1413.24
125,-1415.95
126,-1426.83
127,-1427.56
128,-1428.28
129,-1429.01
130,-1429.73
131,-1430.45
132,-1431.17
133,-1431.88
134,-1432.6
135,-1433.31
136,-1434.02
137,-1434.73
138,-1435.44
139,-1436.14
140,-1436.85
141,-1437.55
142,-1438.25
143,-1438.95
144,-1439.65
145,-1440.35
146,-1448.59
147,-1456.79
148,-1472.15
149,-1478.32
150,-1492.5
151,-1497.03
152,-1501.55
153,-1506.06
154,-1517.91
155,-1519.77
156,-1521.62
157,-1523.47
158,-1525.32
159,-1527.16
160,-1537.32
161,-1547.42
162,-1548.69
163,-1549.96
164,-1558.84
165,-1567.67
166,-1583.67
167,-1590.13
168,-1604.79
169,-1611.06
170,-1624.82
171,-1629.7
172,-1634.57
173,-1646.27
174,-1650.34
175,-1654.39
176,-1666.3
177,-1670.01
178,-1673.73
179,-1677.43
180,-1688.27
181,-1690.43
182,-1692.59
183,-1694.74
184,-1696.9
185,-1707.27
186,-1717.58
187,-1720.47
188,-1730.84
189,-1733.2
190,-1735.56
191,-1737.91
192,-1740.27
193,-1749.41
194,-1758.51
195,-1760.89
196,-1771.12
197,-1774.03
198,-1776.94
199,-1779.84
200,-1782.74
201,-1792.76
202,-1794.93
203,-1797.09
204,-1799.25
205,-1801.41
206,-1803.56
207,-1813.94
208,-1817.69
209,-1821.43
210,-1825.17
211,-1836.4
212,-1840.44
213,-1844.47
214,-1855.29
215,-1860.15
216,-1865.01
217,-1877.73
218,-1883.93
219,-1897.28
220,-1903.53
221,-1904.22
222,-1904.9
223,-1905.58
224,-1906.26
225,-1906.95
226,-1907.63
227,-1908.31
228,-1908.99
229,-1909.67
230,-1910.35
231,-1911.03
232,-1911.71
233,-1920.33
234,-1928.93
235,-1931.39
236,-1941.11
237,-1944.11
238,-1947.1
239,-1950.09
240,-1953.08
241,-1964.37
242,-1970.14
243,-1983.54
244,-1990.86
245,-1991.85
246,-1992.83
247,-1993.82
248,-1994.8
249,-1995.78
250,-1996.77
251,-1997.75
252,-2007.1
253,-2011.29
254,-2015.47
255,-2019.64
256,-2031.5
257,-2037.65
258,-2037.84
259,-2038.03
260,-2038.21
261,-2038.4
262,-2038.59
263,-2038.77
264,-2038.96
265,-2039.15
266,-2039.33
267,-2039.52
268,-2039.7
269,-2039.89
270,-2040.07
271,-2040.26
272,-2040.44
273,-2040.63
274,-2040.81
275,-2041
276,-2041.18
277,-2041.37
278,-2041.55
279,-2041.74
280,-2041.92
281,-2042.1
282,-2042.29
283,-2042.47
284,-2042.66
285,-2042.84
286,-2043.02
287,-2043.21
288,-2043.39
289,-2043.57
290,-2052.18
291,-2060.75
292,-2064.51
293,-2076.05
294,-2082.22
295,-2082.77
296,-2083.33
297,-2083.89
298,-2084.44
299,-2085
300,-2085.56
301,-2086.11
302,-2086.67
303,-2087.22
304,-2087.78
305,-2088.33
306,-2088.89
307,-2097.91
308,-2102.43
309,-2106.95
310,-2119.31
311,-2124.08
312,-2124.08
313,-2124.09
314,-2124.1
315,-2124.1
316,-2124.11
317,-2124.12
318,-2124.13
319,-2124.13
320,-2124.14
321,-2124.15
322,-2124.15
323,-2124.16
324,-2124.17
325,-2124.17
326,-2124.18
327,-2124.18
328,-2124.19
329,-2124.2
330,-2124.2
331,-2124.21
332,-2124.22
333,-2124.22
334,-2124.23
335,-2124.23
336,-2124.24
337,-2124.25
338,-2124.25
339,-2124.26
340,-2124.26
341,-2124.27
342,-2124.27
343,-2124.28
344,-2124.29
345,-2124.29
346,-2124.3
347,-2124.3
348,-2124.31
349,-2124.31
350,-2124.32
351,-2124.32
352,-2124.33
353,-2124.33
354,-2124.34
355,-2124.34
356,-2124.35
357,-2124.35
358,-2124.36
359,-2124.36
360,-2124.37
361,-2124.37
362,-2124.38
363,-2124.38
364,-2124.39
365,-2124.39
366,-2124.4
367,-2124.4
368,-2124.41
369,-2124.41
370,-2124.42
371,-2124.42
372,-2124.43
373,-2124.43
374,-2124.43
375,-2124.44
376,-2124.44
377,-2124.45
378,-2124.45
379,-2124.46
380,-2124.46
381,-2124.46
382,-2124.47
383,-2124.47
384,-2124.48
385,-2124.48
386,-2124.48
