step,0,1,2,3
0,4.06239,-1,9.06239,6.12478
1,4.03184,-1,9.03184,6.06369
2,4.0024,-1,9.0024,6.00479
3,3.97399,-1,8.97399,5.94799
4,3.94659,-1,8.94659,5.89318
5,3.92014,-1,8.92014,5.84028
6,3.8946,-1,8.8946,5.7892
7,3.86993,-1,8.86993,5.73986
8,3.8461,-1,8.8461,5.69219
9,3.82306,-1,8.82306,5.64611
10,3.80078,-1,8.80078,5.60157
11,3.77924,-1,8.77924,5.55848
12,3.7584,-1,8.7584,5.5168
13,3.73823,-1,8.73823,5.47646
14,3.71871,-1,8.71871,5.43741
15,3.6998,-1,8.6998,5.3996
16,3.68149,-1,8.68149,5.36298
17,3.66375,-1,8.66375,5.32751
18,3.64657,-1,8.64657,5.29313
19,3.62991,-1,8.62991,5.25981
20,3.61375,-1,8.61375,5.22751
21,3.59809,-1,8.59809,5.19618
22,3.5829,-1,8.5829,5.1658
23,3.56816,-1,8.56816,5.13633
24,3.55386,-1,8.55386,5.10772
25,3.53998,-1,8.53998,5.07996
26,3.52651,-1,8.52651,5.05301
27,3.51342,-1,8.51342,5.02685
28,3.50072,-1,8.50072,5.00144
29,3.48838,-1,8.48838,4.97676
30,3.47639,-1,8.47639,4.95278
31,3.46474,-1,8.46474,4.92948
32,3.45342,-1,8.45342,4.90684
33,3.44241,-1,8.44241,4.88483
34,3.43172,-1,8.43172,4.86343
35,3.42132,-1,8.42132,4.84263
36,3.4112,-1,8.4112,4.8224
37,3.40136,-1,8.40136,4.80273
38,3.39179,-1,8.39179,4.78359
39,3.38248,-1,8.38248,4.76497
40,3.37343,-1,8.37343,4.74685
41,3.36461,-1,8.36461,4.72922
42,3.35603,-1,8.35603,4.71206
43,3.34768,-1,8.34768,4.69536
44,3.33955,-1,8.33955,4.67909
45,3.33163,-1,8.33163,4.66326
46,3.32392,-1,8.32392,4.64784
47,3.31641,-1,8.31641,4.63283
48,3.3091,-1,8.3091,4.6182
49,3.30198,-1,8.30198,4.60396
50,3.29504,-1,8.29504,4.59008
51,3.28828,-1,8.28828,4.57655
52,3.28169,-1,8.28169,4.56338
53,3.27527,-1,8.27527,4.55054
54,3.26901,-1,8.26901,4.53802
55,3.26291,-1,8.26291,4.52583
56,3.25697,-1,8.25697,4.51394
57,3.25117,-1,8.25117,4.50234
58,3.24552,-1,8.24552,4.49104
59,3.24001,-1,8.24001,4.48002
60,3.23464,-1,8.23464,4.46928
61,3.2294,-1,8.2294,4.4588
62,3.22429,-1,8.22429,4.44858
63,3.2193,-1,8.2193,4.43861
64,3.21444,-1,8.21444,4.42888
65,3.2097,-1,8.2097,4.4194
66,3.20507,-1,8.20507,4.41014
67,3.20056,-1,8.20056,4.40111
68,3.19615,-1,8.19615,4.3923
69,3.19185,-1,8.19185,4.38371
70,3.18766,-1,8.18766,4.37532
71,3.18356,-1,8.18356,4.36713
72,3.17957,-1,8.17957,4.35914
73,3.17567,-1,8.17567,4.35134
74,3.17186,-1,8.17186,4.34373
75,3.16815,-1,8.16815,4.33629
76,3.16452,-1,8.16452,4.32904
77,3.16098,-1,8.16098,4.32195
78,3.15752,-1,8.15752,4.31504
79,3.15414,-1,8.15414,4.30829
80,3.15085,-1,8.15085,4.30169
81,3.14763,-1,8.14763,4.29525
82,3.14448,-1,8.14448,4.28897
83,3.14141,-1,8.14141,4.28283
84,3.13841,-1,8.13841,4.27683
85,3.13549,-1,8.13549,4.27097
86,3.13263,-1,8.13263,4.26525
87,3.12983,-1,8.12983,4.25966
88,3.1271,-1,8.1271,4.25421
89,3.12444,-1,8.12444,4.24887
90,3.12183,-1,8.12183,4.24366
91,3.11929,-1,8.11929,4.23858
92,3.1168,-1,8.1168,4.2336
93,3.11437,-1,8.11437,4.22875
94,3.112,-1,8.112,4.224
95,3.10968,-1,8.10968,4.21936
96,3.10742,-1,8.10742,4.21483
97,3.1052,-1,8.1052,4.2104
98,3.10304,-1,8.10304,4.20608
99,3.10092,-1,8.10092,4.20185
100,3.09886,-1,8.09886,4.19772
101,3.09684,-1,8.09684,4.19368
102,3.09487,-1,8.09487,4.18973
103,3.09294,-1,8.09294,4.18587
104,3.09105,-1,8.09105,4.1821
105,3.08921,-1,8.08921,4.17842
106,3.08741,-1,8.08741,4.17481
107,3.08565,-1,8.08565,4.17129
108,3.08393,-1,8.08393,4.16785
109,3.08224,-1,8.08224,4.16449
110,3.0806,-1,8.0806,4.1612
111,3.07899,-1,8.07899,4.15798
112,3.07742,-1,8.07742,4.15484
113,3.07588,-1,8.07588,4.15177
114,3.07438,-1,8.07438,4.14876
115,3.07291,-1,8.07291,4.14582
116,3.07148,-1,8.07148,4.14295
117,3.07007,-1,8.07007,4.14014
118,3.0687,-1,8.0687,4.1374
119,3.06736,-1,8.06736,4.13471
120,3.06605,-1,8.06605,4.13209
121,3.06476,-1,8.06476,4.12952
122,3.06351,-1,8.06351,4.12701
123,3.06228,-1,8.06228,4.12456
124,3.06108,-1,8.06108,4.12216
125,3.05991,-1,8.05991,4.11981
126,3.05876,-1,8.05876,4.11752
127,3.05764,-1,8.05764,4.11527
128,3.05654,-1,8.05654,4.11308
129,3.05547,-1,8.05547,4.11093
130,3.05442,-1,8.05442,4.10883
131,3.05339,-1,8.05339,4.10678
132,3.05239,-1,8.05239,4.10477
133,3.0514,-1,8.0514,4.10281
134,3.05044,-1,8.05044,4.10089
135,3.0495,-1,8.0495,4.09901
136,3.04859,-1,8.04859,4.09717
137,3.04769,-1,8.04769,4.09538
138,3.04681,-1,8.04681,4.09362
139,3.04595,-1,8.04595,4.0919
140,3.04511,-1,8.04511,4.09022
141,3.04429,-1,8.04429,4.08857
142,3.04348,-1,8.04348,4.08696
143,3.04269,-1,8.04269,4.08539
144,3.04193,-1,8.04193,4.08385
145,3.04117,-1,8.04117,4.08234
146,3.04044,-1,8.04044,4.08087
147,3.03972,-1,8.03972,4.07943
148,3.03901,-1,8.03901,4.07802
149,3.03832,-1,8.03832,4.07664
150,3.03765,-1,8.03765,4.07529
151,3.03699,-1,8.03699,4.07397
152,3.03634,-1,8.03634,4.07268
153,3.03571,-1,8.03571,4.07142
154,3.03509,-1,8.03509,4.07018
155,3.03449,-1,8.03449,4.06897
156,3.0339,-1,8.0339,4.06779
157,3.03332,-1,8.03332,4.06664
158,3.03275,-1,8.03275,4.0655
159,3.0322,-1,8.0322,4.0644
160,3.03166,-1,8.03166,4.06331
161,3.03113,-1,8.03113,4.06225
162,3.03061,-1,8.03061,4.06122
163,3.0301,-1,8.0301,4.0602
164,3.0296,-1,8.0296,4.05921
165,3.02912,-1,8.02912,4.05824
166,3.02864,-1,8.02864,4.05729
167,3.02818,-1,8.02818,4.05636
168,3.02772,-1,8.02772,4.05545
169,3.02728,-1,8.02728,4.05456
170,3.02684,-1,8.02684,4.05369
171,3.02642,-1,8.02642,4.05284
172,3.026,-1,8.026,4.052
173,3.02559,-1,8.02559,4.05119
174,3.02519,-1,8.02519,4.05039
175,3.0248,-1,8.0248,4.04961
176,3.02442,-1,8.02442,4.04884
177,3.02405,-1,8.02405,4.0481
178,3.02368,-1,8.02368,4.04736
179,3.02332,-1,8.02332,4.04665
180,3.02297,-1,8.02297,4.04595
181,3.02263,-1,8.02263,4.04526
182,3.0223,-1,8.0223,4.04459
183,3.02197,-1,8.02197,4.04394
184,3.02165,-1,8.02165,4.04329
185,3.02133,-1,8.02133,4.04267
186,3.02103,-1,8.02103,4.04205
187,3.02072,-1,8.02072,4.04145
188,3.02043,-1,8.02043,4.04086
189,3.02014,-1,8.02014,4.04028
190,3.01986,-1,8.01986,4.03972
191,3.01958,-1,8.01958,4.03917
192,3.01931,-1,8.01931,4.03863
193,3.01905,-1,8.01905,4.0381
194,3.01879,-1,8.01879,4.03758
195,3.01854,-1,8.01854,4.03708
196,3.01829,-1,8.01829,4.03658
197,3.01805,-1,8.01805,4.0361
198,3.01781,-1,8.01781,4.03563
199,3.01758,-1,8.01758,4.03516
200,3.01735,-1,8.01735,4.03471
201,3.01713,-1,8.01713,4.03426
202,3.01691,-1,8.01691,4.03383
203,3.0167,-1,8.0167,4.0334
204,3.01649,-1,8.01649,4.03299
205,3.01629,-1,8.01629,4.03258
206,3.01609,-1,8.01609,4.03218
207,3.0159,-1,8.0159,4.03179
208,3.01571,-1,8.01571,4.03141
209,3.01552,-1,8.01552,4.03104
210,3.01534,-1,8.01534,4.03067
211,3.01516,-1,8.01516,4.03031
212,3.01498,-1,8.01498,4.02996
213,3.01481,-1,8.01481,4.02962
214,3.01464,-1,8.01464,4.02929
215,3.01448,-1,8.01448,4.02896
216,3.01432,-1,8.01432,4.02864
217,3.01416,-1,8.01416,4.02832
218,3.01401,-1,8.01401,4.02801
