step,0,1,2
0,12.1872,15.1872,7.18764
1,12.0955,14.3784,7.22725
2,12.0072,14.0434,7.26605
3,11.922,13.8254,7.30407
4,11.8398,13.694,7.34132
5,11.7604,13.5674,7.37779
6,11.6838,13.4454,7.41351
7,11.6098,13.2023,7.44849
8,11.5383,13.0413,7.48272
9,11.4692,12.9507,7.51624
10,11.4023,12.8627,7.54904
11,11.3377,12.7772,7.58114
12,11.2752,12.6941,7.61256
13,11.2147,12.6133,7.64329
14,11.1561,12.441,7.67337
15,11.0994,12.3355,7.7028
16,11.0445,12.2331,7.73158
17,10.9913,12.0541,7.75974
18,10.9397,11.9381,7.78729
19,10.8897,11.88,7.81424
20,10.8413,11.8234,7.8406
21,10.7943,11.7684,7.86638
22,10.7487,11.7148,7.89159
23,10.7045,11.6626,7.91626
24,10.6616,11.6117,7.94038
25,10.6199,11.5622,7.96397
26,10.5795,11.5138,7.98704
27,10.5403,11.4667,8.0096
28,10.5022,11.4208,8.03166
29,10.4651,11.308,8.05324
30,10.4292,11.1988,8.07435
31,10.3942,11.1434,8.09498
32,10.3603,11.0282,8.11517
33,10.3272,10.9664,8.1349
34,10.2952,10.9059,8.1542
35,10.2639,10.8466,8.17308
36,10.2336,10.733,8.19154
37,10.2041,10.6706,8.20959
38,10.1754,10.6094,8.22724
39,10.1475,10.4985,8.24451
40,10.1203,10.4372,8.26139
41,10.0938,10.377,8.2779
42,10.0681,10.271,8.29404
43,10.043,10.2127,8.30983
44,10.0186,10.1111,8.32527
45,9.99489,10.0563,8.34038
46,9.97176,10.0025,8.35514
47,9.94924,9.90839,8.36959
48,9.9273,9.85991,8.38371
49,9.90593,9.77253,8.39753
50,9.88512,9.72964,8.41104
51,9.86483,9.68745,8.42425
52,9.84507,9.60857,8.43717
53,9.82581,9.57359,8.44981
54,9.80704,9.53918,8.46217
55,9.78875,9.50532,8.47426
56,9.77092,9.47199,8.48608
57,9.75354,9.40406,8.49764
58,9.73659,9.37814,8.50895
59,9.72007,9.35267,8.52001
60,9.70397,9.32764,8.53082
61,9.68826,9.30303,8.5414
62,9.67295,9.27883,8.55174
63,9.65801,9.22073,8.56185
64,9.64345,9.16354,8.57174
65,9.62924,9.14766,8.58141
66,9.61539,9.13212,8.59087
67,9.60188,9.11693,8.60012
68,9.5887,9.10207,8.60916
69,9.57584,9.08753,8.61801
70,9.56329,9.07331,8.62665
71,9.55105,9.05939,8.63511
72,9.53911,9.04577,8.64339
73,9.52745,9.03244,8.65147
74,9.51608,9.01939,8.65939
75,9.50498,9.00662,8.66712
76,9.49415,8.99412,8.67469
77,9.48358,8.94951,8.68209
78,9.47326,8.90547,8.68932
79,9.4632,8.83097,8.69639
80,9.45339,8.79612,8.70329
81,9.44382,8.73077,8.71004
82,9.43449,8.70512,8.71663
83,9.42549,8.67986,8.723
84,9.41699,8.65518,8.72902
85,9.40898,8.60191,8.73471
86,9.40169,8.58864,8.7399
87,9.39474,8.57572,8.74484
88,9.38812,8.56313,8.74956
89,9.38182,8.55087,8.75406
90,9.37582,8.53893,8.75834
91,9.37012,8.52728,8.76242
92,9.36469,8.48614,8.76631
93,9.3598,8.44587,8.76981
94,9.35544,8.37799,8.77294
95,9.35182,8.34835,8.77554
96,9.34859,8.29247,8.77786
97,9.34598,8.27476,8.77974
98,9.34361,8.2293,8.78144
99,9.34173,8.21976,8.78279
100,9.34001,8.21039,8.78403
101,9.33843,8.20118,8.78517
102,9.33699,8.19212,8.7862
103,9.33569,8.18321,8.78714
104,9.33451,8.17445,8.78799
105,9.33346,8.13959,8.78874
106,9.33277,8.10536,8.78924
107,9.33243,8.04664,8.78949
108,9.33264,7.99758,8.78934
109,9.3333,7.98256,8.78886
110,9.3341,7.96772,8.78829
111,9.33502,7.95306,8.78762
112,9.33606,7.91365,8.78687
113,9.33745,7.9087,8.78588
114,9.33885,7.90379,8.78486
115,9.34027,7.8989,8.78384
116,9.34172,7.89404,8.7828
117,9.34317,7.8892,8.78175
118,9.34465,7.86104,8.78069
119,9.34636,7.8333,8.77947
120,9.34828,7.78007,8.77808
121,9.35065,7.75893,8.77638
122,9.35316,7.71408,8.77457
123,9.35603,7.70205,8.77252
124,9.35895,7.66775,8.77043
125,9.36211,7.66298,8.76816
126,9.36524,7.6582,8.76591
127,9.36835,7.6534,8.76369
128,9.37143,7.6486,8.76148
129,9.37449,7.64378,8.7593
130,9.37753,7.61444,8.75713
131,9.38076,7.61574,8.75481
132,9.38392,7.61697,8.75256
133,9.38699,7.61812,8.75037
134,9.38999,7.61919,8.74823
135,9.39291,7.62019,8.74614
136,9.39577,7.62112,8.74411
137,9.39856,7.62198,8.74213
138,9.40128,7.62278,8.74019
139,9.40394,7.62352,8.7383
140,9.40654,7.62419,8.73645
141,9.40908,7.62482,8.73464
142,9.41157,7.62538,8.73287
143,9.414,7.6259,8.73114
144,9.41639,7.62636,8.72945
145,9.41873,7.62678,8.7278
146,9.42101,7.62715,8.72617
147,9.42326,7.62748,8.72458
148,9.42546,7.62777,8.72302
149,9.42762,7.62801,8.72149
150,9.42974,7.62822,8.71999
151,9.43183,7.60575,8.71852
